date,rainfall,eto,idi_7day,action_needed
2024-01-01,2.4,4.6,8.1,0
2024-01-02,0.0,4.8,12.9,0
2024-01-03,0.0,5.0,17.9,0
2024-01-04,1.2,5.1,21.8,1
2024-01-05,0.0,5.3,27.1,1
2024-01-06,0.0,5.4,32.5,1
2024-01-07,0.6,5.2,37.1,1
2024-01-08,4.5,4.9,33.0,1
2024-01-09,6.8,4.7,25.2,1
2024-01-10,8.1,4.6,17.7,0
2024-01-11,5.6,4.5,12.6,0
2024-01-12,2.3,4.7,10.2,0
2024-01-13,1.0,4.9,11.5,0
2024-01-14,0.0,5.0,15.3,0
2024-01-15,0.0,5.2,19.7,0
2024-01-16,1.4,5.1,23.4,1
2024-01-17,0.0,5.3,28.7,1
2024-01-18,0.0,5.4,34.1,1
2024-01-19,0.7,5.2,38.6,1
2024-01-20,5.2,4.9,33.8,1
2024-01-21,7.4,4.7,26.1,1
2024-01-22,9.0,4.6,18.4,0
2024-01-23,6.3,4.5,13.2,0
2024-01-24,3.1,4.7,10.8,0
2024-01-25,1.5,4.9,12.4,0
2024-01-26,0.0,5.1,16.6,0
2024-01-27,0.0,5.2,21.8,1
2024-01-28,1.1,5.0,25.7,1
2024-01-29,0.0,5.3,30.9,1
2024-01-30,0.0,5.4,36.3,1
